carat_weight,total_sales_price,cut,color,clarity
0.09,200,9,1,7
0.09,200,9,1,7
0.09,200,9,1,7
0.09,200,9,1,7
0.09,200,9,1,7
0.09,200,9,1,7
0.09,200,9,1,7
0.09,200,9,1,7
0.09,200,9,1,7
0.09,200,9,1,7
0.09,200,9,1,7
0.09,200,9,2,6
0.09,200,9,1,7
0.09,200,9,1,7
0.09,200,9,1,7
0.09,200,9,1,7
0.09,200,9,1,7
0.09,200,9,1,7
0.09,200,9,1,7
0.09,200,9,2,6
0.08,202,9,1,6
0.09,204,9,1,6
0.09,204,9,1,6
0.09,204,9,1,6
0.09,204,9,1,6
0.09,204,9,1,6
0.09,204,9,1,6
0.3,212,9,6,0
0.09,212,9,5,6
0.1,212,9,3,7
0.1,212,9,3,7
0.1,214,9,1,4
0.09,214,9,0,5
0.1,216,9,3,5
0.1,218,9,3,6
0.11,220,9,4,7
0.35,220,9,6,0
0.09,228,9,1,7
0.09,230,9,1,1
0.09,232,9,1,6
0.09,232,9,1,6
0.09,232,9,1,6
0.09,232,9,1,6
0.1,236,9,3,7
0.3,240,9,9,3
0.34,242,9,8,0
0.34,244,6,8,3
0.11,244,9,3,6
0.11,244,9,3,6
0.17,246,9,6,5
0.11,246,9,0,4
0.11,246,9,0,4
0.31,246,9,9,5
0.3,250,9,3,0
0.3,250,5,8,5
0.3,252,6,9,2
0.3,252,9,7,3
0.3,252,9,8,2
0.12,256,9,4,7
0.31,256,9,9,2
0.3,258,9,7,3
0.12,260,9,4,7
0.11,260,9,0,7
0.12,262,9,5,7
0.12,262,9,2,4
0.12,262,9,1,2
0.12,262,9,2,4
0.3,262,5,7,5
0.3,264,4,9,3
0.3,264,9,9,3
0.31,264,9,8,0
0.12,266,9,3,7
0.31,266,9,7,0
0.31,268,9,8,0
0.12,268,9,1,4
0.32,270,9,7,0
0.13,270,9,5,4
0.12,272,9,3,6
0.12,272,9,3,6
0.3,272,5,7,2
0.3,274,9,9,3
0.12,274,9,0,4
0.31,274,9,8,0
0.31,274,9,8,0
0.4,276,9,8,0
0.3,278,9,9,5
0.12,278,9,2,7
0.13,278,9,3,4
0.13,278,9,3,4
0.13,278,9,3,4
0.12,278,9,2,7
0.12,278,9,2,7
0.13,280,9,3,5
0.31,280,9,9,2
0.23,280,7,2,0
0.3,282,9,5,0
0.14,282,9,5,5
0.3,282,5,8,2
0.18,284,9,2,3
0.15,284,9,4,5
0.12,284,9,1,7
0.12,284,9,1,7
0.3,284,5,7,2
0.3,288,5,8,2
0.3,288,6,9,4
0.18,288,9,5,2
0.3,288,9,3,0
0.3,288,9,3,0
0.13,290,9,2,6
0.12,290,9,1,6
0.12,290,9,0,7
0.13,290,9,2,4
0.12,290,9,1,6
0.12,290,9,0,7
0.12,290,9,0,7
0.3,292,9,7,3
0.3,294,6,9,5
0.12,296,9,0,6
0.13,296,9,1,4
0.3,296,2,8,2
0.31,296,2,9,7
0.31,298,9,9,2
0.3,298,9,8,3
0.3,298,9,6,0
0.34,300,9,9,0
0.15,300,9,1,5
0.3,300,9,6,0
0.11,300,9,0,6
0.11,300,9,0,6
0.13,302,9,0,4
0.13,302,9,0,4
0.3,302,9,8,3
0.3,304,9,7,3
0.33,306,9,7,3
0.3,306,9,9,2
0.3,306,9,9,2
0.3,308,7,8,3
0.32,308,3,9,3
0.13,308,9,2,7
0.13,308,9,2,7
0.3,308,9,6,0
0.31,310,9,9,2
0.31,310,4,5,3
0.3,310,9,3,0
0.3,310,9,9,5
0.32,310,9,9,5
0.3,312,9,7,3
0.3,312,9,7,3
0.3,312,4,9,5
0.4,312,6,9,0
0.14,312,9,5,7
0.31,314,9,3,0
0.31,314,9,6,0
0.13,314,9,1,7
0.13,314,9,1,7
0.13,314,9,1,7
0.13,314,9,1,7
0.13,314,9,1,7
0.13,314,9,1,7
0.13,314,9,1,7
0.19,316,9,6,5
0.19,316,9,6,2
0.3,318,9,9,2
0.33,318,6,8,5
0.31,318,9,6,0
0.3,318,9,3,0
0.13,318,9,3,4
0.3,318,3,8,4
0.4,320,9,8,0
0.3,320,9,7,0
0.13,320,9,0,7
0.13,320,9,0,7
0.13,320,9,0,7
0.31,320,9,9,5
0.31,320,9,9,5
0.3,320,9,8,3
0.41,320,9,9,3
0.35,320,4,8,5
0.23,322,9,7,5
0.3,324,9,8,3
0.31,324,6,5,3
0.3,324,9,6,0
0.15,324,9,0,3
0.3,324,4,10,0
0.32,324,6,7,4
0.34,326,9,1,0
0.3,326,9,6,0
0.13,326,9,0,6
0.13,326,9,0,6
0.13,326,9,0,6
0.13,326,9,0,6
0.13,326,9,0,6
0.13,326,9,0,6
0.13,326,9,0,6
0.3,326,6,8,4
0.3,328,7,3,0
0.3,328,7,9,2
0.39,328,2,4,0
0.42,328,9,3,0
0.3,328,9,6,0
0.3,328,9,6,0
0.12,328,9,1,6
0.12,328,9,0,7
0.3,328,9,6,3
0.31,328,9,7,3
0.3,328,9,6,0
0.3,330,2,4,3
0.3,330,9,7,3
0.3,330,9,7,3
0.3,330,9,7,3
0.3,330,9,7,3
0.3,330,9,8,2
0.3,330,9,9,5
0.3,330,9,9,5
0.3,330,9,9,5
0.33,330,9,4,0
0.3,330,9,7,3
0.3,330,9,2,0
0.3,332,9,9,3
0.3,332,9,5,0
0.24,332,9,9,7
0.14,332,9,0,4
0.14,332,9,3,6
0.12,334,9,0,6
0.12,334,9,0,6
0.13,334,9,0,5
0.13,334,9,1,4
0.13,334,9,1,4
0.32,334,9,9,5
0.32,336,6,8,3
0.3,336,7,6,0
0.3,336,9,4,0
0.3,336,9,7,0
0.3,336,9,7,0
0.3,336,9,7,0
0.31,336,6,8,7
0.31,336,4,7,3
0.3,336,9,7,0
0.32,336,4,7,3
0.3,336,9,9,2
0.3,336,9,9,2
0.3,336,9,7,0
0.4,336,9,9,3
0.3,336,9,9,5
0.34,338,6,9,6
0.3,338,9,9,4
0.3,338,9,9,4
0.14,338,9,3,1
0.3,340,9,7,0
0.3,340,9,9,4
0.3,342,9,9,2
0.3,342,9,6,0
0.32,342,9,6,3
0.23,342,9,9,7
0.13,342,9,0,4
0.13,342,9,0,4
0.3,342,9,8,3
0.3,342,9,9,2
0.18,342,9,0,2
0.3,342,6,4,0
0.3,342,9,9,5
0.3,342,9,9,5
0.41,344,6,6,0
0.49,344,2,4,0
0.32,344,7,6,3
0.31,344,9,9,3
0.3,344,9,7,3
0.14,344,9,1,7
0.3,344,9,9,5
0.3,344,9,7,3
0.35,346,9,9,4
0.3,346,9,8,5
0.19,346,6,5,7
0.32,346,9,9,2
0.3,346,4,6,2
0.3,346,9,8,3
0.31,346,9,6,0
0.41,346,9,2,0
0.3,348,9,9,2
0.13,348,9,2,7
0.31,348,9,7,0
0.31,348,9,8,2
0.3,350,7,7,3
0.3,350,9,7,3
0.42,350,9,8,0
0.3,352,9,8,3
0.3,352,9,6,0
0.3,352,6,7,2
0.18,352,9,5,4
0.3,352,9,9,3
0.32,352,9,8,2
0.37,352,9,8,0
0.33,352,6,7,5
0.32,352,2,6,5
0.3,352,9,5,0
0.18,352,9,5,2
0.34,352,9,9,5
0.14,352,9,1,6
0.14,352,9,0,7
0.4,352,9,9,2
0.18,352,2,1,2
0.4,352,5,8,3
0.3,354,9,8,5
0.3,354,9,7,3
0.3,354,9,9,2
0.3,354,9,9,2
0.21,354,9,2,0
0.13,354,9,2,6
0.31,354,9,7,2
0.33,354,9,9,2
0.33,354,9,9,2
0.3,356,7,9,4
0.3,356,7,9,4
0.34,356,9,1,0
0.17,356,9,6,6
0.3,358,9,9,5
0.31,358,9,6,0
0.3,358,9,7,0
0.3,358,3,9,2
0.3,358,9,8,2
0.3,358,9,7,3
0.3,358,9,2,0
0.31,358,2,7,4
0.33,358,9,8,3
0.3,358,9,8,5
0.3,358,6,6,5
0.3,360,9,4,0
0.3,360,6,6,5
0.3,360,9,5,0
0.3,360,9,3,0
0.3,360,9,9,2
0.34,360,9,8,3
0.18,360,9,5,4
0.32,360,9,9,4
0.13,360,9,0,7
0.3,360,7,7,2
0.3,360,9,8,2
0.3,362,9,8,3
0.3,362,4,7,5
0.3,362,9,7,3
0.3,362,9,8,3
0.3,362,9,7,0
0.32,362,9,3,0
0.3,362,9,8,3
0.18,362,2,0,2
0.31,364,9,6,3
0.3,364,9,7,3
0.31,364,6,3,0
0.3,364,9,7,3
0.35,364,9,9,3
0.35,364,5,8,2
0.31,364,4,7,5
0.19,364,9,6,2
0.37,364,4,5,0
0.3,364,9,8,2
0.31,366,9,9,4
0.34,366,9,8,5
0.31,366,6,6,3
0.3,366,9,6,3
0.3,366,9,9,2
0.21,366,2,0,3
0.3,366,9,9,4
0.3,366,9,4,0
0.3,366,9,2,0
0.3,366,9,9,2
0.3,368,9,6,3
0.3,368,9,3,0
0.3,368,9,8,3
0.31,368,7,8,4
0.3,368,9,6,3
0.3,368,9,6,3
0.3,368,9,8,5
0.3,368,9,5,0
0.18,368,9,0,4
0.14,368,9,0,5
0.3,368,9,7,4
0.37,368,4,8,5
0.31,368,9,8,2
0.17,368,2,3,5
0.37,368,9,6,0
0.3,368,9,8,2
0.31,370,4,7,3
0.4,370,9,9,2
0.3,370,2,2,0
0.3,370,9,7,3
0.3,370,9,7,3
0.3,370,9,7,3
0.23,370,9,8,2
0.31,370,9,8,4
0.3,370,9,6,2
0.3,370,9,5,3
0.33,370,4,7,5
0.3,370,2,3,0
0.3,370,9,7,3
0.3,370,9,7,3
0.31,370,9,8,2
0.3,372,6,5,3
0.31,372,7,9,4
0.31,372,9,6,0
0.31,372,9,9,2
0.31,372,9,6,0
0.31,372,9,6,3
0.3,372,9,4,0
0.31,372,6,6,5
0.3,372,9,9,2
0.3,372,9,9,2
